DateTime,AddedIPs,RemovedIPs
1527877286,7,1
1527878185,1,0
1527884490,4,1
1527888084,1,0
1527891676,3,0
1527898890,5,6
1527899791,0,1
1527902486,1,0
1527903391,0,1
1527906088,2,6
1527911479,0,1
1527912377,0,0
1527914171,5,2
1527916890,1,0
1527918683,0,0
1527921385,6,4
1527923174,0,1
1527924983,0,0
1527925881,1,0
1527927693,0,2
1527928583,0,0
1527929483,0,0
1527931280,0,0
1527932173,0,0
1527933079,0,0
1527933976,0,0
1527935778,1,2
1527936684,0,0
1527938492,0,0
1527939379,0,0
1527940281,0,0
1527941178,0,6
1527943111,0,2
1527943992,0,0
1527944925,0,1
1527946577,7,0
1527947485,0,0
1527948415,0,0
1527949281,1,1
1527950174,0,0
1527951084,0,0
1527952878,0,0
1527953774,0,0
1527955571,0,0
1527956480,2,1
1527957378,0,0
1527958274,0,0
1527960069,0,0
1527960974,0,0
1527962775,0,0
1527963687,3,5
1527964581,0,0
1527966375,0,0
1527967278,0,0
1527968173,0,0
1527969985,0,0
1527970877,2,7
1527971779,0,0
1527972677,0,0
1527973590,0,0
1527975384,0,0
1527976281,0,0
1527977179,0,0
1527978982,1,1
1527979885,0,0
1527980778,0,0
1527981674,0,0
1527983477,0,1
1527984376,0,0
1527985279,4,2
1527987086,0,1
1527987980,0,0
1527988892,0,0
1527990678,0,0
1527991593,0,0
1527992481,0,2
1527994282,0,1
1527995186,0,0
1527996076,0,0
1527997881,0,0
1527998780,1,0
1528001479,4,5
1528002377,0,0
1528004188,0,0
1528005982,1,0
1528006880,2,5
1528012277,0,1
1528014078,5,4
1528021288,2,4
1528026694,2,0
1528027586,9,0
1528028493,2,4
1528032085,0,29
1528033881,1,0
1528035680,5,1
1528042885,5,5
1528050094,2,2
1528050999,1,0
1528057293,4,4
1528060882,0,1
1528064490,4,2
1528069880,0,1
1528070773,0,1
1528071686,2,3
1528078890,2,7
1528086090,2,7
1528093278,4,4
1528100476,4,2
1528107683,3,2
1528111294,1,0
1528115015,2,9
1528118490,6,3
1528119395,0,2
1528122092,5,0
1528125689,1,0
1528129291,5,3
1528132897,0,1
1528136495,1,0
1528137385,1,0
1528143677,6,3
1528150887,2,3
1528158086,3,2
1528165287,1,6
1528170678,0,1
1528172492,8,2
1528176983,0,1
1528179693,4,4
1528186875,4,2
1528194073,1,5
1528200396,10,0
1528201290,1,4
1528204885,0,4
1528208490,4,3
1528212988,0,1
1528213883,0,1
1528215684,3,2
1528222878,3,1
1528230073,1,2
1528232790,0,3
1528237290,2,2
1528244476,2,1
1528247182,0,1
1528248082,0,1
1528251698,2,4
1528258888,6,9
1528266093,1,1
1528273282,3,2
1528280485,6,2
1528287830,1,16
1528291344,0,4
1528292189,10,1
1528294885,4,4
1528302090,3,2
1528303883,0,0
1528309290,7,9
1528312888,0,0
1528318284,4,3
1528322792,3,0
1528324598,1,3
1528329995,0,0
1528332693,1,0
1528338082,3,9
1528341683,0,1
1528342588,0,1
1528344379,0,1
1528345284,6,5
1528348876,0,2
1528352482,6,4
1528359700,1,2
1528366885,6,1
1528374104,4,4
1528375012,0,3
1528377696,0,4
1528381301,3,7
1528388497,4,1
1528395692,9,5
1528402889,2,6
1528410099,4,3
1528417290,4,4
1528419990,0,1
1528422688,0,1
1528424498,2,8
1528426293,0,1
1528427188,0,2
1528431693,5,2
1528435290,1,0
1528437978,0,2
1528438896,3,3
1528446092,1,5
1528453296,4,5
1528460637,3,4
1528461532,0,7
1528464995,7,1
1528467682,1,1
1528474893,1,3
1528482121,3,1
1528489301,2,7
1528496505,3,3
1528503696,3,2
1528510886,5,8
1528518090,3,5
1528525284,3,3
1528532490,0,7
1528539693,3,2
1528546897,3,4
1528551393,0,7
1528554076,2,2
1528558583,0,1
1528561291,15,9
1528568493,5,6
1528575713,0,4
1528580185,0,1
1528582901,3,2
1528590088,3,2
1528597288,1,5
1528604488,5,5
1528611695,2,0
1528618895,1,3
1528626094,2,2
1528633432,3,10
1528636909,5,0
1528640497,5,3
1528647688,3,4
1528654898,4,3
1528662080,4,4
1528669291,4,4
1528676488,1,2
1528683686,2,4
1528690892,5,2
1528698105,2,2
1528705281,5,5
1528712494,6,2
1528718804,7,0
1528719687,4,2
1528723283,0,5
1528726888,4,7
1528734092,0,2
1528741292,2,1
1528748497,3,6
1528754789,1,0
1528755695,2,5
1528758403,0,1
1528759290,1,0
1528762887,2,1
1528764694,0,1
1528769180,1,0
1528770091,3,10
1528771884,1,0
1528774603,1,0
1528777293,5,0
1528784487,2,2
1528787195,1,0
1528791688,4,3
1528798884,5,2
1528805289,0,8
1528806243,0,3
1528810592,3,0
1528813305,5,2
1528815096,1,1
1528817802,1,0
1528820507,11,2
1528827703,3,3
1528834905,1,2
1528836691,0,2
1528838491,0,1
1528839391,0,1
1528841182,0,1
1528842092,2,1
1528845692,1,1
1528849291,3,1
1528856492,2,6
1528863695,6,4
1528869089,0,1
1528870903,5,4
1528878094,6,2
1528885288,4,2
1528892496,2,1
1528896987,0,7
1528900772,4,6
1528902405,5,0
1528906889,1,2
1528911390,1,1
1528912293,0,1
1528914106,1,1
1528921298,3,7
1528928488,1,2
1528935683,2,4
1528942886,0,6
1528950093,7,6
1528956400,0,1
1528957306,1,6
1528960900,1,0
1528964495,3,6
1528971685,12,1
1528979029,1,4
1528982493,12,0
1528986098,7,1
1528993290,3,4
1529000491,4,2
1529007692,0,2
1529014890,4,3
1529021193,0,1
1529022091,3,3
1529024802,1,0
1529027501,1,0
1529029289,2,5
1529036495,4,3
1529043717,1,5
1529050904,4,4
1529058088,3,2
1529061695,0,1
1529066190,5,7
1529068902,11,0
1529069795,0,5
1529072489,4,1
1529073380,0,1
1529075191,1,0
1529079691,1,3
1529086888,1,3
1529094097,6,0
1529094993,0,1
1529100388,0,1
1529101309,3,2
1529104893,1,0
1529108501,2,4
1529115693,2,9
1529118387,1,0
1529122900,6,3
1529123803,0,1
1529125596,0,1
1529130098,1,1
1529137293,2,4
1529144499,4,3
1529152736,3,3
1529156203,7,0
1529158903,2,4
1529166094,5,8
1529173303,3,0
1529180511,4,2
1529182299,0,2
1529183202,0,1
1529187694,4,4
1529190395,0,1
1529192201,0,3
1529194895,2,1
1529197602,1,0
1529201213,1,0
1529202098,1,7
1529203894,1,0
1529204793,1,0
1529209298,7,5
1529216510,5,4
1529223696,3,4
1529230896,1,2
1529238104,84,7
1529241705,0,4
1529245318,2,1
1529252512,6,4
1529259694,3,2
1529266901,5,1
1529274111,1,2
1529281300,2,4
1529288490,3,7
1529295700,6,3
1529302895,2,2
1529310106,4,6
1529317298,4,4
1529324644,13,10
1529328144,0,1
1529329000,4,0
1529331707,3,4
1529338893,2,1
1529346095,13,4
1529353317,5,0
1529360506,3,0
1529367702,4,3
1529374902,5,7
1529378494,1,0
1529382103,5,3
1529389308,2,4
1529396489,4,0
1529400092,1,0
1529403713,6,5
1529410006,6,7
1529410900,6,2
1529415398,0,4
1529418101,3,4
1529419003,1,0
1529422601,1,0
1529425290,1,3
1529432504,6,4
1529439710,3,2
1529440596,1,0
1529443301,1,0
1529444206,1,0
1529446904,0,2
1529454107,2,2
1529455895,1,0
1529457700,0,1
1529461308,3,7
1529468502,6,5
1529475695,4,1
1529481103,1,0
1529482913,1,2
1529490109,2,3
1529497443,1,2
1529499254,1,0
1529501795,11,1
1529504508,2,4
1529507213,0,6
1529511697,4,3
1529518909,3,12
1529526101,4,4
1529529694,2,0
1529533299,1,6
1529535103,0,1
1529540491,6,2
1529541393,1,0
1529544995,0,1
1529547693,4,8
1529554893,8,2
1529562107,1,5
1529569300,1,4
1529576491,7,4
1529583702,6,3
1529587295,0,10
1529590893,6,4
1529599003,4,4
1529605300,1,6
1529607104,0,1
1529612501,5,2
1529619693,7,4
1529621499,0,1
1529622400,1,0
1529626893,3,1
1529628692,1,0
1529634093,3,6
1529641280,7,16
1529648493,3,0
1529652100,2,0
1529655687,1,3
1529662893,3,6
1529671128,4,3
1529674594,10,8
1529677290,6,11
1529684497,6,5
1529691685,5,4
1529698884,1,0
1529699791,1,0
1529706097,1,3
1529706987,2,0
1529713288,4,7
1529720492,2,10
1529722285,0,1
1529727687,5,2
1529734899,7,4
1529742093,2,4
1529742988,1,0
1529749280,5,0
1529756494,7,4
1529760987,0,4
1529763686,4,6
1529770889,4,3
1529776284,1,0
1529778085,4,4
1529784380,1,0
1529785285,3,3
1529788880,0,1
1529790684,1,0
1529792492,2,1
1529796094,1,0
1529798778,1,0
1529799680,0,5
1529806886,3,9
1529814076,10,2
1529821287,1,4
1529822177,0,1
1529824877,1,0
1529826694,0,1
1529828485,2,6
1529835677,1,2
1529843033,5,82
1529846510,0,1
1529848279,6,0
1529850087,3,7
1529857281,6,1
1529859976,0,1
1529864485,2,1
1529871679,4,3
1529872582,0,1
1529878875,3,6
1529886086,1,4
1529893278,2,4
1529897777,0,1
1529900475,7,6
1529901378,0,1
1529906779,0,1
1529907682,2,1
1529914876,2,3
1529922080,4,3
